dataset,imbalance_ratio,model,balanced_accuracy,f1,f1_std,f1_rep1,f1_rep2,f1_rep3,f1_rep4,f1_rep5,precision,recall,training_time,model_size_kb
Bank,1,GradientBoosting,0.8574444444444446,0.861130467798436,0.0030219130230577135,0.8630880831276813,0.8557546021556733,0.8616023055675178,0.8605586437423994,0.8646487043989083,0.8392354521495963,0.8844444444444445,1.6203545761108398,2066.53515625
Bank,1,XGBoost,0.8557777777777779,0.8595394898958739,0.0019603905669543058,0.8586203337708971,0.8581463676888144,0.8584329784424716,0.8590853704005994,0.863412399176587,0.8377735446117331,0.8827777777777779,0.348035249710083,577.599609375
Bank,1,LightGBM,0.8505000000000001,0.85376433728132,0.003701144770032934,0.8558617334585124,0.8496679851432114,0.8491503552581527,0.8585128338354157,0.8556287787113075,0.8355632348132177,0.873,0.3180831241607666,1074.765625
Bank,1,CatBoost,0.8628333333333335,0.8668597472959092,0.003218737200182603,0.866597605740106,0.8617576721409911,0.865381179533499,0.87050856472521,0.87005371433974,0.8424097898937484,0.8931111111111112,3.283963975906372,1646.55859375
Bank,4,DecisionTree,0.7111458333333333,0.5522197894140618,0.011157054956934464,0.5638103004645239,0.5500910722989123,0.5664064099567554,0.5392457914312911,0.5415453729188264,0.62660608110988,0.4969444444444445,0.037658491134643556,19.3212890625
Bank,4,RandomForest,0.7269444444444446,0.5896500603751227,0.014786296600116018,0.5757893016813774,0.6173112734897439,0.5894667894259372,0.5781959298060187,0.587487007472536,0.7117992039962412,0.5055555555555556,0.603000659942627,5631.80078125
Bank,4,ExtraTrees,0.665625,0.4827456791072914,0.0077675669324763705,0.4859235333496111,0.4950030618592132,0.47958014181824227,0.4713174419184141,0.48190421659097593,0.6932435546704119,0.3730555555555556,0.4155906391143799,6887.279296875
Bank,4,GradientBoosting,0.7647222222222222,0.6422480091267097,0.0032063886456619056,0.6367671825417871,0.645112578026569,0.64515218848615,0.6436343617381365,0.6405737348409059,0.7045690788172544,0.5922222222222222,1.61046142578125,1817.734375
Bank,4,XGBoost,0.7679861111111111,0.6454665931079827,0.009631326102527656,0.645092753250648,0.6633484469233754,0.6361925259776413,0.6378851934044455,0.644814045983803,0.7006362485701051,0.6008333333333333,0.34600703239440916,548.447265625
Bank,4,LightGBM,0.7585763888888889,0.6279766765976973,0.009773341816337676,0.6384892957540489,0.6398048508404603,0.6265764864976777,0.615780799932395,0.6192319499639047,0.6772950110719664,0.5880555555555557,0.31296515464782715,1078.115234375
Bank,4,CatBoost,0.7686805555555556,0.6476390884361768,0.005616332957989005,0.6464191524887739,0.6576169849675285,0.6411144198488843,0.6441136855153183,0.6489311993603788,0.7045701047342581,0.6008333333333333,3.450771884918213,1611.52734375
Bank,9,DecisionTree,0.6379012345679013,0.3732317552643997,0.009866361135490493,0.37517356993049866,0.38217449303209505,0.3843276743202445,0.3578658924700552,0.3666171465691054,0.4546247640292237,0.3188888888888889,0.04395874977111816,15.7275390625
Bank,9,RandomForest,0.5914506172839507,0.29641603076534656,0.02676250765582769,0.2762936063784217,0.32110523903944244,0.32254628261956847,0.25448983383765994,0.30764519195164003,0.6387227401494068,0.19555555555555554,0.6262365055084228,3951.365234375
Bank,9,ExtraTrees,0.5549382716049382,0.19588193634952672,0.01018923337328256,0.1888527274176542,0.20722090018989756,0.20687381208803193,0.18104679008934327,0.1954154519627066,0.5643700408638489,0.11999999999999998,0.40640408515930176,5218.5341796875
Bank,9,GradientBoosting,0.6593518518518519,0.43311344554842063,0.014690560169756658,0.40522857913038574,0.4403471696207645,0.43283574085300974,0.44745632315964806,0.43969941497829534,0.5865712134113865,0.34611111111111115,1.5819264602661134,1744.0380859375
Bank,9,XGBoost,0.6607098765432099,0.4333183238973367,0.006747676826351682,0.42429128053525356,0.4451508432439696,0.43267952272877047,0.4309303064513708,0.4335396665273194,0.5706318450486642,0.35111111111111115,0.294659366607666,523.744140625
Bank,9,LightGBM,0.653179012345679,0.41349008283300603,0.021394328773194443,0.405734574727421,0.45460393052773335,0.40921052631578947,0.40591444472391525,0.3919869378701712,0.5360866771808771,0.33888888888888885,0.35246016502380373,1085.134765625
Bank,9,CatBoost,0.6598765432098765,0.4346303379574188,0.010876105739629922,0.4514719491331288,0.43801705702231,0.41756153242177,0.4330104091677162,0.4330907420421687,0.5886388137752825,0.3472222222222222,3.1551428413391114,1610.44140625
